year,month,capital_input,labor_input,capital_labor_ratio
2011,01,85.382,86.773,0.9839696679842808
2012,01,87.069,89.359,0.9743730346131896
2013,01,89.074,91.39,0.9746580588685853
2014,01,91.598,93.819,0.9763267568402988
2015,01,94.329,96.57,0.9767940354147252
2016,01,97.156,98.105,0.9903266907904796
2017,01,100.0,100.0,1.0
2018,01,103.013,102.622,1.0038100991990022
2019,01,106.134,103.838,1.0221113657813132
2020,01,109.124,98.42,1.1087583824425928
2021,01,111.575,102.999,1.0832629443004302
2022,01,114.461,107.395,1.0657944969505098
2023,01,117.549,108.513,1.0832711288048438
2024,01,120.701,109.064,1.1066988190420304
2025,01,123.979,110.217,1.1248627707159513
