year,month,electricity_consumption
2022,06,347106.332
2022,07,389214.175
2022,08,389626.282
2022,09,340543.841
2022,10,297195.944
2022,11,292257.746
2022,12,327775.784
2023,01,325414.645
2023,02,292945.662
2023,03,306453.942
2023,04,280811.148
2023,05,298705.57
2023,06,328798.084
2023,07,387256.107
2023,08,392436.034
2023,09,346476.441
2023,10,308065.409
2023,11,294248.486
2023,12,312641.835
2024,01,343716.522
2024,02,303258.343
2024,03,297278.276
2024,04,286256.797
2024,05,313961.453
2024,06,355881.968
2024,07,397872.586
2024,08,394199.462
2024,09,343070.706
2024,10,315901.982
2024,11,295796.043
2024,12,328187.696
2025,01,362357.514
2025,02,320832.354
2025,03,307531.769
2025,04,295054.615
2025,05,312683.884
2025,06,357360.144
2025,07,407230.48
2025,08,392289.79
2025,09,344960.798
2025,10,321215.816
2025,11,298925.532
