year,month,prime_age_epop
2022,08,80.2
2022,09,80.2
2022,10,79.9
2022,11,79.8
2022,12,80.2
2023,01,80.3
2023,02,80.5
2023,03,80.7
2023,04,80.7
2023,05,80.7
2023,06,80.8
2023,07,80.9
2023,08,80.8
2023,09,80.8
2023,10,80.7
2023,11,80.8
2023,12,80.5
2024,01,80.6
2024,02,80.7
2024,03,80.7
2024,04,80.8
2024,05,80.8
2024,06,80.7
2024,07,80.9
2024,08,80.9
2024,09,80.9
2024,10,80.6
2024,11,80.5
2024,12,80.5
2025,01,80.7
2025,02,80.5
2025,03,80.4
2025,04,80.7
2025,05,80.5
2025,06,80.7
2025,07,80.4
2025,08,80.7
2025,09,80.7
2025,11,80.6
2025,12,80.7
2026,01,80.8
2026,02,80.7
