year,month,quits_rate
2022,08,2.8
2022,09,2.7
2022,10,2.6
2022,11,2.6
2022,12,2.7
2023,01,2.5
2023,02,2.5
2023,03,2.4
2023,04,2.3
2023,05,2.6
2023,06,2.4
2023,07,2.3
2023,08,2.3
2023,09,2.3
2023,10,2.3
2023,11,2.3
2023,12,2.2
2024,01,2.1
2024,02,2.2
2024,03,2.1
2024,04,2.2
2024,05,2.1
2024,06,2.1
2024,07,2.1
2024,08,2.1
2024,09,2.0
2024,10,2.0
2024,11,1.9
2024,12,1.9
2025,01,2.0
2025,02,2.0
2025,03,2.2
2025,04,2.0
2025,05,2.1
2025,06,2.1
2025,07,2.0
2025,08,2.0
2025,09,1.9
2025,10,1.9
2025,11,2.0
2025,12,2.0
2026,01,2.0
