date,bachelor_earnings,highschool_earnings,college_wage_premium
2022-04-01,742,397,1.8690176322418135
2022-07-01,749,402,1.86318407960199
2022-10-01,752,401,1.8753117206982544
2023-01-01,759,406,1.8694581280788178
2023-04-01,782,395,1.9797468354430379
2023-07-01,772,401,1.9251870324189526
2023-10-01,805,405,1.9876543209876543
2024-01-01,801,404,1.9826732673267327
2024-04-01,785,408,1.9240196078431373
2024-07-01,832,410,2.029268292682927
2024-10-01,835,418,1.9976076555023923
2025-01-01,837,421,1.98812351543943
2025-04-01,833,422,1.9739336492890995
2025-07-01,846,421,2.009501187648456
