date,electricity_consumption
2022-06-01,347106.332
2022-07-01,389214.175
2022-08-01,389626.282
2022-09-01,340543.841
2022-10-01,297195.944
2022-11-01,292257.746
2022-12-01,327775.784
2023-01-01,325414.645
2023-02-01,292945.662
2023-03-01,306453.942
2023-04-01,280811.148
2023-05-01,298705.57
2023-06-01,328798.084
2023-07-01,387256.107
2023-08-01,392436.034
2023-09-01,346476.441
2023-10-01,308065.409
2023-11-01,294248.486
2023-12-01,312641.835
2024-01-01,343716.522
2024-02-01,303258.343
2024-03-01,297278.276
2024-04-01,286256.797
2024-05-01,313961.453
2024-06-01,355881.968
2024-07-01,397872.586
2024-08-01,394199.462
2024-09-01,343070.706
2024-10-01,315901.982
2024-11-01,295796.043
2024-12-01,328187.696
2025-01-01,362357.514
2025-02-01,320832.354
2025-03-01,307531.769
2025-04-01,295054.615
2025-05-01,312683.884
2025-06-01,357360.144
2025-07-01,407230.48
2025-08-01,392289.79
2025-09-01,344960.798
2025-10-01,321215.816
2025-11-01,298925.532
