date,graduate_unemployment_rate
2022-06-01,1.6
2022-07-01,2.6
2022-08-01,2.1
2022-09-01,2.1
2022-10-01,2.0
2022-11-01,1.8
2022-12-01,1.6
2023-01-01,2.0
2023-02-01,2.2
2023-03-01,1.5
2023-04-01,1.4
2023-05-01,1.1
2023-06-01,2.1
2023-07-01,1.8
2023-08-01,2.7
2023-09-01,2.2
2023-10-01,2.1
2023-11-01,1.9
2023-12-01,2.4
2024-01-01,1.7
2024-02-01,2.1
2024-03-01,2.0
2024-04-01,2.4
2024-05-01,1.5
2024-06-01,2.5
2024-07-01,2.0
2024-08-01,3.9
2024-09-01,2.9
2024-10-01,2.5
2024-11-01,2.0
2024-12-01,2.0
2025-01-01,2.3
2025-02-01,2.7
2025-03-01,2.6
2025-04-01,1.7
2025-05-01,1.6
2025-06-01,2.5
2025-07-01,4.5
2025-08-01,3.7
2025-09-01,3.9
2025-11-01,3.1
2025-12-01,2.9
